id,name,type,parent_id/id,property_account_income_categ,property_account_expense_categ,property_stock_account_input_categ,property_stock_account_output_categ,property_stock_valuation_account_id
product_cat_skd,SKD,Normal,product_cat_finished_goods,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ckd,CKD,Normal,product_cat_finished_goods,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_oem,OEM,Normal,product_cat_finished_goods,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_fixed_gear_parts,Fixed Gear Parts,Normal,product_cat_finished_goods,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_parts,Parts,Normal,product_cat_finished_goods,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_non_mto,Non – Made To Order/Project,Normal,product_cat_finished_goods,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_mto,Made To Order/Project,Normal,product_cat_finished_goods,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_bike_computer,Bike Computer,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_กระดิ่ง,กระดิ่ง,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_กระติกน้ำ,กระติกน้ำ,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_กุญแจ,กุญแจ,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_แกนกลาง,แกนกลาง,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
