id,name,description_sale,description_purchase,default_code,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id/id,uom_id,uom_po_id,description,valuation,uos_id,uos_coeff,standard_price,list_price,qty_available
product.product_product_pip051,"แป๊ปกลม 1""x1.15x6 M.",,,PIP051,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_pipe,เส้น,เส้น,,Real Time (automated),กก.,4.1265,1,,
product.product_product_pip052,"แป๊ปกลม 1""x1.1x6 M.",,,PIP052,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_pipe,เส้น,เส้น,,Real Time (automated),กก.,3.9552,1,,
product.product_product_pip001,"แป๊ปกลม 1 1/2""x0.9x6 M.",,,PIP001,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_pipe,เส้น,เส้น,,Real Time (automated),กก.,4.954,1,,
product.product_product_pip012,"แป๊ปกลม 1 1/2""x2.0x6 M.",,,PIP012,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_pipe,เส้น,เส้น,,Real Time (automated),กก.,10.6834,1,,
product.product_product_pip002,"แป๊ปกลม 1 1/2""x1.0x6 M.",,,PIP002,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_pipe,เส้น,เส้น,,Real Time (automated),กก.,5.4897,1,,
product.product_product_pip003,"แป๊ปกลม 1 1/2""x1.0x6.11 M.",,,PIP003,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_pipe,เส้น,เส้น,,Real Time (automated),กก.,5.5903,1,,
product.product_product_pip004,"แป๊ปกลม 1 1/2""x1.15x6 M.",,,PIP004,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_pipe,เส้น,เส้น,,Real Time (automated),กก.,6.2876,1,,
product.product_product_pip005,"แป๊ปกลม 1 1/2""x1.1x6 M.",,,PIP005,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_pipe,เส้น,เส้น,,Real Time (automated),กก.,6.0223,1,,
product.product_product_pip006,"แป๊ปกลม 1 1/2""x1.1x6.11 M.",,,PIP006,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_pipe,เส้น,เส้น,,Real Time (automated),กก.,6.1327,1,,
product.product_product_pip007,"แป๊ปกลม 1 1/2""x1.2x6 M.",,,PIP007,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_pipe,เส้น,เส้น,,Real Time (automated),กก.,6.5521,1,,
product.product_product_pip008,"แป๊ปกลม 1 1/2""x1.35x6 M.",,,PIP008,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_pipe,เส้น,เส้น,,Real Time (automated),กก.,7.3411,1,,
product.product_product_pip009,"แป๊ปกลม 1 1/2""x1.4x6 M.",,,PIP009,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_pipe,เส้น,เส้น,,Real Time (automated),กก.,7.6026,1,,
product.product_product_pip010,"แป๊ปกลม 1 1/2""x1.5x6 M.",,,PIP010,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_pipe,เส้น,เส้น,,Real Time (automated),กก.,8.1235,1,,
product.product_product_pip011,"แป๊ปกลม 1 1/2""x1.9x6 M.",,,PIP011,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_pipe,เส้น,เส้น,,Real Time (automated),กก.,10.1773,1,,
