id,name,shipper_ids
base.res_partner_048,"ไทยเจริญจักรยาน,ลำปลายมาศ",พนมรุ้ง
base.res_partner_084,ไทยฮวด,กริชทอง
base.res_partner_339,นงอะไหล่ยนต์ & คลังจักรยาน,เมืองเหนือ
base.res_partner_361,นายจันทร์,ส.แก่นนครพัฒนา
base.res_partner_341,นาอ้อยยานยนต์,สายสี่ขนส่ง
base.res_partner_349,น่าฮวดเฮง,พนมรุ้ง
base.res_partner_352,นิยมกิจ,ชัยรุ่งเรือง
base.res_partner_358,นิวจักรยานศิลป์,นิวทำดี
base.res_partner_1136,"บริพัตรจักรยาน, ลำพูน",เมืองเหนือ
base.res_partner_1138,"บ้านรถถีบ, ร้าน",นิวตะกั่วป่า
base.res_partner_1150,บุญลือจักรยาน,ป.กิตติพงษ์
base.res_partner_1148,บูรพากลการ,สุธนา โคราช-ปักธงชัย
base.res_partner_1124,ไบร์ท แอสเสสสอรี่,ส.สมจิตร
base.res_partner_284,"ป.ไบค์, ร้าน",จันทวารินขนส่ง
base.res_partner_289,"ประทานพรจักรยาน, ร้าน",ดาวศรีบุญลือ(จำปี)
base.res_partner_300,ปัญญาอะไหล่,พรเพชรบูรณ์หล่มสัก
base.res_partner_317,ปิยะจักรยาน,จันทบุรียุทธนา
base.res_partner_309,"ปิยะพานิชย์, ร้าน",ฟ้าประทาน
base.res_partner_279,เปี๊ยกจักรยาน,ตากสินบริการ
base.res_partner_294,โปรไบค์(ไทยแลนด์),ส.สมจิตร
base.res_partner_302,"ผินฮับเจริญ, ร้าน",พรเพชรบูรณ์หล่มสัก
base.res_partner_312,พ.สิทธิภัณฑ์ เดิมบาง,วิชัยเจริญ
base.res_partner_304,"พงษ์เจริญจักรยาน, ร้อยเอ็ด",สหนำโชค
base.res_partner_321,พรทิพย์อะไหล่,พิมาย
base.res_partner_275,"พลประไพร, ร้าน",นิ่มซี่เส็ง
base.res_partner_286,"พิกุล 1 , ร้าน",เมืองเหนือ
base.res_partner_297,เพชรเจริญ,ศศิพิมพ์โชคประเสริฐ
base.res_partner_315,"ไพศาลจักรยาน, กาฬสินธุ์",ดาวศรีบุญลือ(จำปี)
base.res_partner_319,"ไพศาลจักรยาน, ร้อยเอ็ด",สหนำโชค
base.res_partner_523,ฟิล์ม & แฟร์,รุ่งเรืองทรัพย์
base.res_partner_520,เฟรม จักรยาน,พรกิจ
base.res_partner_518,"แฟ็ตฟรี, ร้านจักรยาน",ป.รุ่งโรจน์ขนส่ง
base.res_partner_371,มงคลจักรยาน,ภูเก็ตมั่นคง
base.res_partner_389,มานพจักรยาน,ชัยนาทสหพิทักษ์
base.res_partner_385,มานะชัย-ท่ายาง,ส.สมจิตร
base.res_partner_379,มิตรสยาม,ช.รุ่งเรือง
base.res_partner_381,มีชัยจักรยาน,นเรศสว่าง
base.res_partner_393,"แม่สอดบุญโรจน์ 1999, บจก.",ศิริสมบูรณ์ทรัพย์
base.res_partner_368,"โมดิฟายด์ ช็อป, ร้าน",พนมรุ้ง
base.res_partner_005,ยงไทยจักรยาน,ดาวศรีบุญลือ(จำปี)
base.res_partner_009,"ยนต์ชัย, ร้าน",แม่สายอินทรีย์
base.res_partner_011,ยินดีพาณิชย์,กริชทอง
base.res_partner_244,"รถถีบ, ร้าน",โชคประเสริฐ
base.res_partner_247,รวมเจริญอะไหล่,โชคเจ้าสัว
base.res_partner_258,รัตนการช่าง,วรวัฒน์
base.res_partner_252,รัตนศักดิ์,ต.อุตรดิถต์ขุนพล
base.res_partner_269,ร้านปรีชาลาภอะไหล่,เตียเจ็งกี่ขนส่ง
base.res_partner_256,รามาทีวี,นิวทำดี
base.res_partner_261,รุ่งกิจจักรยาน,พรเพชรบูรณ์หล่มสัก
base.res_partner_254,"รุ่งเรืองจักรยาน, ร้าน",อรัญ-วินัย
base.res_partner_402,ลพบุรีจักรยาน,สินไทย
base.res_partner_404,ลักษ์ 9 อะไหล่,พรกิจ
base.res_partner_400,"ลำปางเพิ่มทรัพย์, หจก.",นิ่มซี่เส็ง
base.res_partner_413,เลฟลี่ จักรยาน,พรกิจ
base.res_partner_406,"เลิศพลัง 007, บจก.",นิ่มซี่เส็ง
base.res_partner_395,ไล่ฮะจักรยาน,โคราชแสงเจริญ
base.res_partner_411,ไล่ฮะพานิช,โคราชแสงเจริญ
base.res_partner_020,"วรรณา, ร้าน",รุ่งเรืองกิจเจริญ
base.res_partner_018,วัชระธุรกิจ,นิ่มซี่เส็ง
base.res_partner_034,วัฒน์กลการ,ตากน้ำทิพย์
base.res_partner_016,"วัฒนพานิช, อยุธยา",แต้พังเฮง
base.res_partner_031,วิทยาพานิช,รุ่งเรืองกิจเจริญ
base.res_partner_029,วิบูลย์ภัณฑ์ (สายฟ้า),เคเอสดี
base.res_partner_024,วีระพาณิชย์,โชคเจ้าสัว
base.res_partner_037,เวนิส,ฉลองชัย
base.res_partner_149,ศรีรุ่งเรือง,พนมรุ้ง
base.res_partner_101,ศรีสะเกษจักรยาน,โชคเจ้าสัว
base.res_partner_161,ศักดิ์จักรยาน,อุบลพรชัย
base.res_partner_195,ศิริยานยนต์,ทรัพย์ปรีชา
base.res_partner_098,"ศุภางค์ พานิชย์, ร้าน",นิ่มซี่เส็ง
base.res_partner_211,ศูนย์รวมจักรยาน,ลี้ฮะจัก
base.res_partner_191,ส.จักรยานไทย,แต้พังเฮง
base.res_partner_152,ส.แจ๋วแหว๋ว (โค้ว ส.เจริญ),ณัฐพงค์
base.res_partner_136,ส.ชายจักรยาน,พรกิจ
base.res_partner_139,"สมจิตร, ร้าน",โชคสถาพร
base.res_partner_175,สมบัติ จักรยาน,แสงเจริญบริการ
base.res_partner_158,สมประสงค์จักรยาน,ชวาลกิต
base.res_partner_206,สมพงษ์การค้า,แต้พังเฮง
base.res_partner_213,สมรักษ์จักรยาน,ลี้ฮะจัก
base.res_partner_184,สยามนานาภัณฑ์,โชคเจริญ
base.res_partner_156,"สยามพิจิตรริมน้ำ, ร้าน",รุ่งเรืองกิจเจริญ
base.res_partner_208,"สหจักรยาน, ร้าน ระยอง",ระยองพัฒนา
base.res_partner_189,สหชัยวิทยุจักรยาน (ABC),หย่ง
base.res_partner_111,"สหพานิช เชียงใหม่, หจก.",โชคไพศาล
base.res_partner_200,สากลพาณิชย์,โชคเจริญ
base.res_partner_180,สามชัย,ประกายเพชรบูรณ์
base.res_partner_193,สามชุกจักรยาน,แต้พังเฮง
base.res_partner_215,สารคามอะไหล่,ลี้ฮะจัก
