id,name,code,parent_id/id,type,user_type/id,reconcile
thai_rjc_55430,ค่าซ่อมบำรุงอื่นๆโรงงาน,55430,thai_rjc_55000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_55900,ค่าใช้จ่ายโรงงานอื่นๆ,55900,thai_rjc_55000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_56000,บัญชีปรับปรุงสินค้าคงเหลือ,56000,thai_rjc_50000,View,account.data_account_type_view,FALSE
thai_rjc_56100,ปรับปรุงผลแตกต่างการตรวจนับสินค้าคงเหลือ,56100,thai_rjc_56000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_56200,ปรับปรุงราคาสินค้าคงเหลือ,56200,thai_rjc_56000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_56300,ปรับปรุงผลแตกต่างราคาตลาดสินค้าคงเหลือ,56300,thai_rjc_56000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_58000,บัญชีปรับปรุงผลแตกต่างต้นทุน,58000,thai_rjc_50000,View,account.data_account_type_view,FALSE
thai_rjc_58100,Invoice price variance,58100,thai_rjc_58000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_58200,Purchase price variance,58200,thai_rjc_58000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_58300,Purchase price variance Offset,58300,thai_rjc_58000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_58400,Using Variance,58400,thai_rjc_58000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_58500,Method Change Variance,58500,thai_rjc_58000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_58600,Rate Variance,58600,thai_rjc_58000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
