id,name,description_sale,description_purchase,sale_ok,purchase_ok,hr_expense_ok,type,cost_method,categ_id,uom_id,uom_po_id,valuation,standard_price,list_price,property_account_income,property_account_expense
product_product_charge_47,ค่าสื่อโฆษณา,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,63100 ค่าสื่อโฆษณา,63100 ค่าสื่อโฆษณา
product_product_charge_48,ค่าแคตตาล็อก สื่อสิ่งพิมพ์,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,63200 ค่าแคตตาล็อก สื่อสิ่งพิมพ์,63200 ค่าแคตตาล็อก สื่อสิ่งพิมพ์
product_product_charge_49,ค่าสินค้าตัวอย่าง,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,63300 ค่าสินค้าตัวอย่าง,63300 ค่าสินค้าตัวอย่าง
product_product_charge_50,ค่างาน Event,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,63400 ค่าประกวดราคา,63400 ค่าประกวดราคา
product_product_charge_51,ค่าใช้จ่ายส่งเสริมการขายและการตลาด,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,63500 ค่าใช้จ่ายส่งเสริมการขายและการตลาด,63500 ค่าใช้จ่ายส่งเสริมการขายและการตลาด
product_product_charge_52,ค่าของ Premium,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,63600 ค่าของ Premium,63600 ค่าของ Premium
product_product_charge_53,ค่าใช้จ่าย Modernt Trade,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,63700 ค่าใช้จ่าย Modernt Trade,63700 ค่าใช้จ่าย Modernt Trade
product_product_charge_54,ค่าธรรมเนียมเครดิตการ์ดลูกค้า,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,63800 ค่าธรรมเนียมเครดิตการ์ดลูกค้า,63800 ค่าธรรมเนียมเครดิตการ์ดลูกค้า
product_product_charge_55,ค่าเช่าอาคารและสถานที่,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,64100 ค่าเช่าอาคารและสถานที่,64100 ค่าเช่าอาคารและสถานที่
product_product_charge_56,ค่าไฟฟ้า,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,64200 ค่าไฟฟ้า,64200 ค่าไฟฟ้า
product_product_charge_57,ค่าน้ำประปา,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,64300 ค่าน้ำประปา,64300 ค่าน้ำประปา
product_product_charge_58,ค่ารักษาความปลอดภัย,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,64400 ค่ารักษาความปลอดภัย,64400 ค่ารักษาความปลอดภัย
product_product_charge_59,ค่าเครื่องเขียนสิ่งพิมพ์,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,64500 ค่าเครื่องเขียนสิ่งพิมพ์,64500 ค่าเครื่องเขียนสิ่งพิมพ์
product_product_charge_60,ค่าใช้จ่ายสำนักงาน,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,64600 ค่าใช้จ่ายสำนักงาน,64600 ค่าใช้จ่ายสำนักงาน
product_product_charge_61,เครื่องถ่ายเอกสาร,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,64700 เครื่องถ่ายเอกสาร,64700 เครื่องถ่ายเอกสาร
product_product_charge_62,ค่าโทรศัพท์,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,65100 ค่าโทรศัพท์,65100 ค่าโทรศัพท์
product_product_charge_63,ค่าอินเตอร์เน็ต,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,65200 ค่าอินเตอร์เน็ต,65200 ค่าอินเตอร์เน็ต
product_product_charge_64,ค่าไปรษณีย์และอากรแสตมป์,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,65300 ค่าไปรษณีย์และอากรแสตมป์,65300 ค่าไปรษณีย์และอากรแสตมป์
product_product_charge_65,ค่าวารสารสิ่งพิมพ์,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,66100 ค่าวารสารสิ่งพิมพ์,66100 ค่าวารสารสิ่งพิมพ์
product_product_charge_66,ค่าสมาชิกต่างๆ,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,66200 ค่าสมาชิกต่างๆ,66200 ค่าสมาชิกต่างๆ
product_product_charge_67,ค่าซ่อมบำรุงสำนักงานและเครื่องใช้สำนักงาน,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,67100 ค่าซ่อมบำรุงสำนักงานและเครื่องใช้สำนักงาน,67100 ค่าซ่อมบำรุงสำนักงานและเครื่องใช้สำนักงาน
