id,name,description_sale,description_purchase,default_code,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id,uom_id,uom_po_id,description,valuation,uos_id,uos_coeff,standard_price,list_price,qty_available
product_product_CKD024,"CKD จักรยานเด็ก JOCKEY รุ่น X-GEN 16"" สีแดง",,,CKD024,TRUE,FALSE,Stockable Product,Make to Order,Manufacture,,Standard Price,,CKD,ชุด,ชุด,,Real Time (automated),,,1,1,
product_product_OEM059,"ชุดใหญ่ 16""MTB-Y-Mono กลก. มีรูกระติกน้ำ แคนดี้น้ำเงิน","ชุดใหญ่ 16""MTB-Y-Mono กลก. มีรูกระติกน้ำ แคนดี้น้ำเงิน * ตังถัง, ตะเกียบ, อัดถ้วยคอ, แฮนด์รุ่น 20""พ่นสี + คอชุบดำ, ปลอกมือ, อานสี, บังโซ่นกหวีด, บันได,  ล้อพ่วง, วงล้อสี, ชุดขาจานเลื้อยED 4.1/2 + ชุดถ้วย + ใบจาน 32T. (ไม่เอาบังโคลน+ขา)",,OEM059,TRUE,FALSE,Stockable Product,Make to Order,Manufacture,,Standard Price,,OEM,ชุด,ชุด,,Real Time (automated),,,1,1,
product_product_CKD011,"CKD จักรยาน SWALLOW รุ่น CRUISER 20"" สีแดง",,,CKD011,TRUE,FALSE,Stockable Product,Make to Order,Manufacture,,Standard Price,,CKD,ชุด,ชุด,,Real Time (automated),,,1,1,
product_product_OEM058,"ชุดใหญ่ 16""MTB-Y-Mono กลก. มีรูกระติกน้ำ แคนดี้แดง","ชุดใหญ่ 16""MTB-Y-Mono กลก. มีรูกระติกน้ำ แคนดี้แดง * ตังถัง, ตะเกียบ, อัดถ้วยคอ, แฮนด์รุ่น 20""พ่นสี + คอชุบดำ, ปลอกมือ, อานสี, บังโซ่นกหวีด, บันได, ล้อพ่วง, วงล้อสี, ชุดขาจานเลื้อยED 4.1/2 + ชุดถ้วย + ใบจาน 32T. (ไม่เอาบังโคลน+ขา)",,OEM058,TRUE,FALSE,Stockable Product,Make to Order,Manufacture,,Standard Price,,OEM,ชุด,ชุด,,Real Time (automated),,,1,1,
product_product_CKD034,"CKD จักรยานเด็ก SWALLOW รุ่น ANGEL 16"" สีฟ้า",,,CKD034,TRUE,FALSE,Stockable Product,Make to Order,Manufacture,,Standard Price,,CKD,ชุด,ชุด,,Real Time (automated),,,1,1,
product_product_CKD032,"CKD จักรยานเด็ก SWALLOW รุ่น ANGEL 16"" สีชมพู",,,CKD032,TRUE,FALSE,Stockable Product,Make to Order,Manufacture,,Standard Price,,CKD,ชุด,ชุด,,Real Time (automated),,,1,1,
product_product_CKD005,"CKD จักรยาน MTB รุ่น RJC 24"" สีชมพู",,,CKD005,TRUE,FALSE,Stockable Product,Make to Order,Manufacture,,Standard Price,,CKD,ชุด,ชุด,,Real Time (automated),,,1,1,
product_product_BCB_SET_MINI_24,"ชุดสายเบรค MINI 24"" หน้า/หลัง",,,BCB_SET_MINI_24,TRUE,FALSE,Stockable Product,Make to Order,Manufacture,,Standard Price,,KIT,ชุด,ชุด,,Real Time (automated),,,1,1,
product_product_RIM026,"วงล้อเหล็ก 16"" สีน้ำเงิน HB-2A",,,RIM026,TRUE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,วงล้อ,คู่,คู่,,Real Time (automated),,,1,1,
product_product_OEM100,"ชุดใหญ่ 24""MTB-RJC กลญ. แคนดี้ชมพู","ชุดใหญ่ 24""MTB-RJC กลญ. แคนดี้ชมพู *ตัวถัง, ตะเกียบ, แฮนด์ปีกนก+คอ, ปลอกมือ, อานดำ, บังโคลนเหล็ก+ขา, บันได, ขาตั้ง, วงล้อ, ชุดขาจานเลื้อยED 6.1/2 + ชุดถ้วย + ใบจาน 44T, บังจาน 5 รู 44T.",,OEM100,TRUE,FALSE,Stockable Product,Make to Order,Manufacture,,Standard Price,,OEM,ชุด,ชุด,,Real Time (automated),,,1,1,
