id,name,description_sale,description_purchase,default_code,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id,uom_id,uom_po_id,description,valuation,uos_id,uos_coeff,standard_price,list_price,qty_available
product_product_1000001,"CKD รุ่น MTB RJC 20"" สีแดง รุ่นมีบังโซ่นกหวีด, พักเท้า, เบาะท้าย+ อานบรอนซ์, วงล้ออัลลอยด์, ยางนอก-ใน ไทย, แฮนด์บรอน์, ตะกร้า. (ราคาเนต)","CKD รุ่น MTB RJC 20"" สีแดง รุ่นมีบังโซ่นกหวีด, พักเท้า, เบาะท้าย+ อานบรอนซ์, วงล้ออัลลอยด์, ยางนอก-ใน ไทย, แฮนด์บรอน์, ตะกร้า. (ราคาเนต)",,1000001,TRUE,FALSE,Stockable Product,Make to Order,Manufacture,,Standard Price,,CKD,ชุด,ชุด,,Real Time (automated),,,1,1,
product_product_1000002,"CKD รุ่น MTB RJC 20"" สีน้ำเงิน รุ่นมีบังโซ่นกหวีด, พักเท้า, เบาะท้าย+ อานบรอนซ์, วงล้ออัลลอยด์, ยางนอก-ใน ไทย, แฮนด์บรอน์, ตะกร้า. (ราคาเนต)","CKD รุ่น MTB RJC 20"" สีน้ำเงิน รุ่นมีบังโซ่นกหวีด, พักเท้า, เบาะท้าย+ อานบรอนซ์, วงล้ออัลลอยด์, ยางนอก-ใน ไทย, แฮนด์บรอน์, ตะกร้า. (ราคาเนต)",,1000002,TRUE,FALSE,Stockable Product,Make to Order,Manufacture,,Standard Price,,CKD,ชุด,ชุด,,Real Time (automated),,,1,1,
product_product_1000004,"CKD รุ่น MTB RJC 20"" สีดำ รุ่นมีบังโซ่นกหวีด, พักเท้า, เบาะท้าย+ อานบรอนซ์, วงล้ออัลลอยด์, ยางนอก-ใน ไทย, แฮนด์บรอน์, ตะกร้า. (ราคาเนต)","CKD รุ่น MTB RJC 20"" สีดำ รุ่นมีบังโซ่นกหวีด, พักเท้า, เบาะท้าย+ อานบรอนซ์, วงล้ออัลลอยด์, ยางนอก-ใน ไทย, แฮนด์บรอน์, ตะกร้า. (ราคาเนต)",,1000004,TRUE,FALSE,Stockable Product,Make to Order,Manufacture,,Standard Price,,CKD,ชุด,ชุด,,Real Time (automated),,,1,1,
product_product_CKD_RJC_24X,"CKD จักรยาน MTB รุ่น RJC 24"" คละสี",,,CKD_RJC_24X,TRUE,FALSE,Stockable Product,Make to Order,Manufacture,,Standard Price,,CKD,ชุด,ชุด,,Real Time (automated),,,1,1,
product_product_FRK006X,"ตะเกียบ MTB 12"" [121:160] คละสี ไม่มีถ้วยคอ ",,,FRK006X,TRUE,FALSE,Stockable Product,Make to Stock,Manufacture,,Standard Price,,ตะเกียบ,อัน,อัน,,Real Time (automated),,,1,1,
product_product_FRK021X,"ตะเกียบ MTB 26"" คอยาว คละสี",,,FRK021X,TRUE,FALSE,Stockable Product,Make to Stock,Manufacture,,Standard Price,,ตะเกียบ,อัน,อัน,,Real Time (automated),,,1,1,
product_product_KIT_BRAKE_KID_12R,ชุดเบรคก้ามปู หน้า/หลัง ED พร้อมมือเบรคเด็ก 12-14 สีแดง และสายเบรคสีดำ หน้า45/หลัง 85,,,KIT_BRAKE_KID_12R,TRUE,FALSE,Stockable Product,Make to Order,Manufacture,,Standard Price,,KIT,ชุด,ชุด,,Real Time (automated),,,1,1,
product_product_KIT_BRAKE_KID_12SB,ชุดเบรคก้ามปู หน้า/หลัง ED พร้อมมือเบรคเด็ก 12-14 สีฟ้า และสายเบรคสีดำ หน้า45/หลัง 85,,,KIT_BRAKE_KID_12SB,TRUE,FALSE,Stockable Product,Make to Order,Manufacture,,Standard Price,,KIT,ชุด,ชุด,,Real Time (automated),,,1,1,
product_product_KIT_BRAKE_KID_16SB,ชุดเบรคก้ามปู หน้า/หลัง ED พร้อมมือเบรคเด็ก 16 สีฟ้า และสายเบรคสีดำ หน้า55/หลัง 90,,,KIT_BRAKE_KID_16SB,TRUE,FALSE,Stockable Product,Make to Order,Manufacture,,Standard Price,,KIT,ชุด,ชุด,,Real Time (automated),,,1,1,
product_product_KIT_CST_MTB24_ED,"ชุดขาเบาะท้าย MTB 24"" ED แบบ 3 ชิ้น",,,KIT_CST_MTB24_ED,TRUE,FALSE,Stockable Product,Make to Order,Manufacture,,Standard Price,,KIT,ชุด,ชุด,,Real Time (automated),,,1,1,
