id,partner_id,partner_invoice_id,partner_shipping_id,name,date_order,pricelist_id/id,order_line/sequence,order_line/type,order_line/name,order_line/product_id,order_line/product_uom_qty,order_line/salesman_id/id,order_line/price_unit,order_line/product_uom
sale_order_1006148,"เจริญจักรยาน, ราชบุรี","เจริญจักรยาน, ราชบุรี","เจริญจักรยาน, ราชบุรี",1003843,2012-12-28,product.list0,10,from stock,"** มีตะกร้า, ล้ออัลลอยด์ ** nobox",RJC24R,5,base.user_root,1087,คัน
sale_order_1006148,"เจริญจักรยาน, ราชบุรี","เจริญจักรยาน, ราชบุรี","เจริญจักรยาน, ราชบุรี",1003843,2012-12-28,product.list0,20,from stock,"** มีตะกร้า, ล้ออัลลอยด์ ** nobox",RJC24B,15,base.user_root,1087,คัน
sale_order_1006148,"เจริญจักรยาน, ราชบุรี","เจริญจักรยาน, ราชบุรี","เจริญจักรยาน, ราชบุรี",1003843,2012-12-28,product.list0,30,from stock,"** มีตะกร้า, ล้ออัลลอยด์ ** nobox",RJC24P,5,base.user_root,1087,คัน
sale_order_1006148,"เจริญจักรยาน, ราชบุรี","เจริญจักรยาน, ราชบุรี","เจริญจักรยาน, ราชบุรี",1003843,2012-12-28,product.list0,40,from stock,"** มีตะกร้า, ล้ออัลลอยด์ ** nobox **",RJC24K,5,base.user_root,1087,คัน
sale_order_1005815,ไทยฮวด,ไทยฮวด,ไทยฮวด,1003510,2012-12-03,product.list0,30,from stock,** มีตะกร้า ** ราคาเนต **,RJC24P,20,base.user_root,1000,คัน
sale_order_1005815,ไทยฮวด,ไทยฮวด,ไทยฮวด,1003510,2012-12-03,product.list0,20,from stock,** มีตะกร้า ** ราคาเนต **,RJC24B,10,base.user_root,1000,คัน
sale_order_1005815,ไทยฮวด,ไทยฮวด,ไทยฮวด,1003510,2012-12-03,product.list0,10,from stock,** มีตะกร้า ** ราคาเนต **,RJC24R,10,base.user_root,1000,คัน
sale_order_1006063,"สุรพลจักรยาน, ร้าน","สุรพลจักรยาน, ร้าน","สุรพลจักรยาน, ร้าน",1003758,2012-12-21,product.list0,40,from stock,** มีตะกร้า **,RJC24K,3,base.user_root,1000,คัน
sale_order_1006063,"สุรพลจักรยาน, ร้าน","สุรพลจักรยาน, ร้าน","สุรพลจักรยาน, ร้าน",1003758,2012-12-21,product.list0,50,from stock,** มีตะกร้า **,RJC24P,3,base.user_root,1000,คัน
sale_order_1006063,"สุรพลจักรยาน, ร้าน","สุรพลจักรยาน, ร้าน","สุรพลจักรยาน, ร้าน",1003758,2012-12-21,product.list0,60,from stock,** มีตะกร้า **,RJC24B,7,base.user_root,1000,คัน
sale_order_1006063,"สุรพลจักรยาน, ร้าน","สุรพลจักรยาน, ร้าน","สุรพลจักรยาน, ร้าน",1003758,2012-12-21,product.list0,70,from stock,** มีตะกร้า **,RJC24R,7,base.user_root,1000,คัน
sale_order_1005983,ดีชัย,ดีชัย,ดีชัย,1003678,2012-12-17,product.list0,10,from stock,** มีตะกร้า **,RJC24R,2,base.user_root,1055,คัน
sale_order_1005983,ดีชัย,ดีชัย,ดีชัย,1003678,2012-12-17,product.list0,20,from stock,** มีตะกร้า **,RJC24B,3,base.user_root,1055,คัน
sale_order_1005983,ดีชัย,ดีชัย,ดีชัย,1003678,2012-12-17,product.list0,30,from stock,** มีตะกร้า **,RJC24P,3,base.user_root,1055,คัน
sale_order_1005983,ดีชัย,ดีชัย,ดีชัย,1003678,2012-12-17,product.list0,40,from stock,** มีตะกร้า **,RJC24K,2,base.user_root,1055,คัน
sale_order_1005922,สมบัติ จักรยาน,สมบัติ จักรยาน,สมบัติ จักรยาน,1003617,2012-12-12,product.list0,40,from stock,N/A,RJC24P,4,base.user_root,1057,คัน
sale_order_1005922,สมบัติ จักรยาน,สมบัติ จักรยาน,สมบัติ จักรยาน,1003617,2012-12-12,product.list0,30,from stock,** มีตะกร้า **,RJC24K,4,base.user_root,1057,คัน
sale_order_1005922,สมบัติ จักรยาน,สมบัติ จักรยาน,สมบัติ จักรยาน,1003617,2012-12-12,product.list0,20,from stock,** มีตะกร้า **,RJC24B,4,base.user_root,1057,คัน
sale_order_1005922,สมบัติ จักรยาน,สมบัติ จักรยาน,สมบัติ จักรยาน,1003617,2012-12-12,product.list0,10,from stock,** มีตะกร้า **,RJC24R,4,base.user_root,1057,คัน
sale_order_1006000,สารคามอะไหล่,สารคามอะไหล่,สารคามอะไหล่,1003695,2012-12-17,product.list0,10,from stock,"** มีตะกร้า, ยางไทย ** ราคาเนต **",RJC24R,10,base.user_root,1070,คัน
sale_order_1006000,สารคามอะไหล่,สารคามอะไหล่,สารคามอะไหล่,1003695,2012-12-17,product.list0,20,from stock,"** มีตะกร้า, ยางไทย ** ราคาเนต",RJC24B,10,base.user_root,1070,คัน
sale_order_1006000,สารคามอะไหล่,สารคามอะไหล่,สารคามอะไหล่,1003695,2012-12-17,product.list0,30,from stock,"** มีตะกร้า, ยางไทย ** ราคาเนต",RJC24K,5,base.user_root,1070,คัน
sale_order_1006000,สารคามอะไหล่,สารคามอะไหล่,สารคามอะไหล่,1003695,2012-12-17,product.list0,40,from stock,"** มีตะกร้า, ยางไทย ** ราคาเนต",RJC24P,5,base.user_root,1070,คัน
sale_order_1006265,ข่วงสิงห์ไบร์ เชียงใหม่,ข่วงสิงห์ไบร์ เชียงใหม่,ข่วงสิงห์ไบร์ เชียงใหม่,1003960,2013-01-08,product.list0,60,from stock,** ส่งของที่สุพรรณ **,MSP7CW,1,base.user_root,3632,คัน
sale_order_1006265,ข่วงสิงห์ไบร์ เชียงใหม่,ข่วงสิงห์ไบร์ เชียงใหม่,ข่วงสิงห์ไบร์ เชียงใหม่,1003960,2013-01-08,product.list0,70,from stock,** ส่งของที่สุพรรณ **,MSP7CK,1,base.user_root,3632,คัน
sale_order_1006265,ข่วงสิงห์ไบร์ เชียงใหม่,ข่วงสิงห์ไบร์ เชียงใหม่,ข่วงสิงห์ไบร์ เชียงใหม่,1003960,2013-01-08,product.list0,80,from stock,** ส่งของที่สุพรรณ **,MSP7CSB,1,base.user_root,3632,คัน
