ERROR,id,partner_id,partner_invoice_id,partner_shipping_id,name,date_order,pricelist_id/id,order_line/sequence,order_line/type,order_line/name,order_line/special_info,order_line/product_id,order_line/product_uom_qty,order_line/salesman_id/id,order_line/price_unit,order_line/product_uom
YES,sale_order_1006550,กิจเสรี,กิจเสรี,กิจเสรี,1004245,2013-02-02,product.list0,40,from stock,"ซี่ลวดเหล็ก 14G*242มม. (24"") ชุบซิงค์ พร้อมหัวซี่ลวดขึ้นมือ",,SPK026,50,base.user_root,61,กุรุส
YES,sale_order_1006538,งี่ฮ้ง - สวนมะลิ,งี่ฮ้ง - สวนมะลิ,งี่ฮ้ง - สวนมะลิ,1004233,2013-02-01,product.list0,10,from stock,"ตะเกียบ MTB 20"" [182:221] คละสี",,FRK010X,20,base.user_root,54,อัน
YES,sale_order_1006539,พี.เอส.ที.เทรดดิ้ง,พี.เอส.ที.เทรดดิ้ง,พี.เอส.ที.เทรดดิ้ง,1004234,2013-02-01,product.list0,10,from stock,ชุดแฮนด์ MINI 16 สีฟ้า + คอ MTB 60mm  สีฟ้า,,KIT_HAND_MINI_16SB,200,base.user_root,46,ชุด
YES,sale_order_1006540,"วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.",1004235,2013-02-01,product.list0,40,from stock,ชุดดุมเหล็ก หน้า/หลัง 28 รู #10 ชุบซิงค์,,KIT_HUB_2810U,500,base.user_root,34,คู่
YES,sale_order_1006540,"วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.",1004235,2013-02-01,product.list0,50,from stock,ชุดดุมเหล็ก หน้า/หลัง 28 รู #14 ชุบซิงค์,,KIT_HUB_2814U,1000,base.user_root,33,คู่
YES,sale_order_1006544,สารคามอะไหล่,สารคามอะไหล่,สารคามอะไหล่,1004239,2013-02-01,product.list0,10,from stock,"CKD จักรยาน MTB รุ่น RJC 24"" สีชมพู","** ยางนอกไทย, มีตะกร้า ** ราคาเนต ** ส่ง 11-2-56",CKD005,10,base.user_root,1087,คัน
YES,sale_order_1006544,สารคามอะไหล่,สารคามอะไหล่,สารคามอะไหล่,1004239,2013-02-01,product.list0,20,from stock,"CKD จักรยาน MTB รุ่น RJC 24"" สีดำ","** ยางนอกไทย, มีตะกร้า ** ราคาเนต ** ส่ง 11-2-56",CKD006,10,base.user_root,1087,คัน
YES,sale_order_1006544,สารคามอะไหล่,สารคามอะไหล่,สารคามอะไหล่,1004239,2013-02-01,product.list0,30,from stock,"CKD จักรยาน MTB รุ่น RJC 24"" สีน้ำเงิน","** ยางนอกไทย, มีตะกร้า ** ราคาเนต ** ส่ง 11-2-56",CKD008,15,base.user_root,1087,คัน
YES,sale_order_1006544,สารคามอะไหล่,สารคามอะไหล่,สารคามอะไหล่,1004239,2013-02-01,product.list0,40,from stock,"CKD จักรยาน MTB รุ่น RJC 24"" สีแดง","** ยางนอกไทย, มีตะกร้า ** ราคาเนต ** ส่ง 11-2-56",CKD007,15,base.user_root,1087,คัน
YES,sale_order_1006547,ยงไทยจักรยาน,ยงไทยจักรยาน,ยงไทยจักรยาน,1004242,2013-02-01,product.list0,10,from stock,ไฟซิลิโคน FT-206D สีแดง,,LGH005R,2,base.user_root,70,ชุด
YES,sale_order_1006547,ยงไทยจักรยาน,ยงไทยจักรยาน,ยงไทยจักรยาน,1004242,2013-02-01,product.list0,20,from stock,ไฟซิลิโคน FT-206D สีฟ้า,,LGH005SB,2,base.user_root,70,ชุด
YES,sale_order_1006547,ยงไทยจักรยาน,ยงไทยจักรยาน,ยงไทยจักรยาน,1004242,2013-02-01,product.list0,30,from stock,ไฟซิลิโคน FT-206D สีขาว,,LGH005W,2,base.user_root,70,ชุด
YES,sale_order_1006547,ยงไทยจักรยาน,ยงไทยจักรยาน,ยงไทยจักรยาน,1004242,2013-02-01,product.list0,40,from stock,ไฟซิลิโคน FT-206D สีเหลือง,,LGH005Y,2,base.user_root,70,ชุด
YES,sale_order_1006547,ยงไทยจักรยาน,ยงไทยจักรยาน,ยงไทยจักรยาน,1004242,2013-02-01,product.list0,50,from stock,ไฟซิลิโคน FT-206D สีดำ,,LGH005K,2,base.user_root,70,ชุด
YES,sale_order_1006547,ยงไทยจักรยาน,ยงไทยจักรยาน,ยงไทยจักรยาน,1004242,2013-02-01,product.list0,60,from stock,ไฟซิลิโคน FT-208D สีแดง,,LGH006R,2,base.user_root,70,ชุด
YES,sale_order_1006547,ยงไทยจักรยาน,ยงไทยจักรยาน,ยงไทยจักรยาน,1004242,2013-02-01,product.list0,70,from stock,ไฟซิลิโคน FT-208D สีน้ำเงิน,,LGH006B,2,base.user_root,70,ชุด
YES,sale_order_1006547,ยงไทยจักรยาน,ยงไทยจักรยาน,ยงไทยจักรยาน,1004242,2013-02-01,product.list0,80,from stock,ไฟซิลิโคน FT-208D สีขาว,,LGH006W,2,base.user_root,70,ชุด
YES,sale_order_1006547,ยงไทยจักรยาน,ยงไทยจักรยาน,ยงไทยจักรยาน,1004242,2013-02-01,product.list0,90,from stock,ไฟซิลิโคน FT-208D สีเหลือง,,LGH006Y,2,base.user_root,70,ชุด
YES,sale_order_1006547,ยงไทยจักรยาน,ยงไทยจักรยาน,ยงไทยจักรยาน,1004242,2013-02-01,product.list0,100,from stock,ไฟซิลิโคน FT-208D สีดำ,,LGH006K,2,base.user_root,70,ชุด
YES,sale_order_1006511,"สหจักรยาน, ร้าน ระยอง","สหจักรยาน, ร้าน ระยอง","สหจักรยาน, ร้าน ระยอง",1004206,2013-01-31,product.list0,10,from stock,ไฟซิลิโคน FT-206D สีดำ,,LGH005K,2,base.user_root,70,ชุด
YES,sale_order_1006511,"สหจักรยาน, ร้าน ระยอง","สหจักรยาน, ร้าน ระยอง","สหจักรยาน, ร้าน ระยอง",1004206,2013-01-31,product.list0,20,from stock,ไฟซิลิโคน FT-206D สีขาว,,LGH005W,2,base.user_root,70,ชุด
YES,sale_order_1006511,"สหจักรยาน, ร้าน ระยอง","สหจักรยาน, ร้าน ระยอง","สหจักรยาน, ร้าน ระยอง",1004206,2013-01-31,product.list0,30,from stock,ไฟซิลิโคน FT-206D สีฟ้า,,LGH005SB,2,base.user_root,70,ชุด
YES,sale_order_1006511,"สหจักรยาน, ร้าน ระยอง","สหจักรยาน, ร้าน ระยอง","สหจักรยาน, ร้าน ระยอง",1004206,2013-01-31,product.list0,40,from stock,ไฟซิลิโคน FT-206D สีเหลือง,,LGH005Y,2,base.user_root,70,ชุด
YES,sale_order_1006511,"สหจักรยาน, ร้าน ระยอง","สหจักรยาน, ร้าน ระยอง","สหจักรยาน, ร้าน ระยอง",1004206,2013-01-31,product.list0,50,from stock,ไฟซิลิโคน FT-206D สีแดง,,LGH005R,2,base.user_root,70,ชุด
