ERROR,id,partner_id,partner_invoice_id,partner_shipping_id,name,date_order,pricelist_id/id,order_line/sequence,order_line/type,order_line/name,order_line/special_info,order_line/product_id,order_line/product_uom_qty,order_line/salesman_id/id,order_line/price_unit,order_line/product_uom
YES,sale_order_1006365,ไพโอเนียร์ไซเคิล (เอ.วี),ไพโอเนียร์ไซเคิล (เอ.วี),ไพโอเนียร์ไซเคิล (เอ.วี),1004060,2013-01-18,product.list0,10,from stock,"ชุดใหญ่ 26""SPORT  มีกุญแจคอ ลูไซด์ดำ * ตัวถัง, ตะเกียบ, ถุงอะไหล่, บังโคลน, หุ้มโซ่เต็ม, บังล้อ, แฮนด์ + คอ SPORT, บันได, พักเท้า, ขาตั้ง, ขาตะกร้า *",,OEM_SPORT_26_K,10,base.user_root,930,ชุด
YES,sale_order_1006377,เสมอการช่าง,เสมอการช่าง,เสมอการช่าง,1004072,2013-01-18,product.list0,20,from stock,"CKD จักรยาน MTB รุ่น RJC 24"" สีแดง",** มีตะกร้า **,CKD007,20,base.user_root,1016,คัน
YES,sale_order_1006377,เสมอการช่าง,เสมอการช่าง,เสมอการช่าง,1004072,2013-01-18,product.list0,30,from stock,"CKD จักรยาน MTB รุ่น RJC 24"" สีน้ำเงิน",** มีตะกร้า **,CKD008,10,base.user_root,1016,คัน
YES,sale_order_1006377,เสมอการช่าง,เสมอการช่าง,เสมอการช่าง,1004072,2013-01-18,product.list0,40,from stock,"CKD จักรยาน MTB รุ่น RJC 24"" สีดำ",** มีตะกร้า **,CKD006,10,base.user_root,1016,คัน
YES,sale_order_1006377,เสมอการช่าง,เสมอการช่าง,เสมอการช่าง,1004072,2013-01-18,product.list0,50,from stock,"CKD จักรยาน MTB รุ่น RJC 24"" สีชมพู",** มีตะกร้า **,CKD005,10,base.user_root,1016,คัน
YES,sale_order_1006304,ศักดิ์จักรยาน,ศักดิ์จักรยาน,ศักดิ์จักรยาน,1003999,2013-01-14,product.list0,40,from stock,"CKD จักรยานเด็ก SWALLOW รุ่น ANGEL 16"" สีแดง",- คละสี ** ยางไทย **,CKD033,50,base.user_root,932,คัน
YES,sale_order_1006309,แสงจันทร์,แสงจันทร์,แสงจันทร์,1004004,2013-01-14,product.list0,10,from stock,"วงล้อเหล็ก 20"" ชุบโครเมี่ยม ขึ้นซี่ลวด #14G พร้อมดุม 28 รู - หน้า/หลัง",,KIT_RIM_20S_FR,50,base.user_root,145,คู่
YES,sale_order_1006247,"วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.",1003942,2013-01-07,product.list0,150,from stock,ชุดดุมเหล็ก หน้า/หลัง 28 รู #14 ชุบซิงค์,,KIT_HUB_2814U,1000,base.user_root,33,คู่
YES,sale_order_1006209,รุ่งกิจจักรยาน,รุ่งกิจจักรยาน,รุ่งกิจจักรยาน,1003904,2013-01-05,product.list0,60,from stock,ชุดเบรคก้ามปู หน้า/หลัง ED พร้อมมือเบรค 24 และสาย,,KIT_BRAKE_MTB_24,50,base.user_root,45,ชุด
YES,sale_order_1006195,สหชัยวิทยุจักรยาน (ABC),สหชัยวิทยุจักรยาน (ABC),สหชัยวิทยุจักรยาน (ABC),1003890,2013-01-04,product.list0,40,from stock,"ตะเกียบ MTB 16"" [131:170] คละสี",,FRK008X,10,base.user_root,53,อัน
YES,sale_order_1006115,นิยมจักรยาน,นิยมจักรยาน,นิยมจักรยาน,1003810,2012-12-25,product.list0,20,from stock,"บังโคลนเหล็ก MTB 24"" คละสี (หน้า-หลัง) พร้อมขาชุบดำ (328+328) และปะกับ",,KIT_MUDGUARD_MTB_300X,20,base.user_root,54,ชุด
YES,sale_order_1006090,เสรียนต์,เสรียนต์,เสรียนต์,1003785,2012-12-24,product.list0,40,from stock,"ตะเกียบ MTB 26"" คอยาว คละสี",,FRK021X,20,base.user_root,67,อัน
YES,sale_order_1006090,เสรียนต์,เสรียนต์,เสรียนต์,1003785,2012-12-24,product.list0,70,from stock,"ซี่ลวดเหล็ก 14G*242มม. (24"") ชุบซิงค์ พร้อมหัวซี่ลวดขึ้นมือ",,SPK026,10,base.user_root,61,กุรุส
