id,partner_id,account_id,reference,comment,date_due,date_invoice,invoice_line/account_id,invoice_line/name,invoice_line/product_id,invoice_line/quantity,invoice_line/price_unit
account_invoice_060,โกสีย์จักรยาน(กิมฟอง),11310 ลูกหนี้การค้าในประเทศ,INV55/963/48103,Sales: danupol,2012-12-22,2012-12-22,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,256900
account_invoice_061,ไก่นาฬิกา,11310 ลูกหนี้การค้าในประเทศ,INV55/956/47797,Sales: pitoon,2012-11-29,2012-11-29,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,4100
account_invoice_062,ข่วงสิงห์ไบร์ เชียงใหม่,11310 ลูกหนี้การค้าในประเทศ,INV55/952/47577,Sales: danupol,2012-11-10,2012-11-10,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,18160
account_invoice_063,ข่วงสิงห์ไบร์ เชียงใหม่,11310 ลูกหนี้การค้าในประเทศ,INV55/956/47795,Sales: danupol,2012-11-29,2012-11-29,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,38259
account_invoice_064,ข่วงสิงห์ไบร์ เชียงใหม่,11310 ลูกหนี้การค้าในประเทศ,INV55/957/47829,Sales: danupol,2012-12-03,2012-12-03,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,25500
account_invoice_065,ข่วงสิงห์ไบร์ เชียงใหม่,11310 ลูกหนี้การค้าในประเทศ,INV55/964/48177,Sales: danupol,2012-12-26,2012-12-26,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,88339
account_invoice_066,คูย่งล้ง,11310 ลูกหนี้การค้าในประเทศ,INV55/964/48200,Sales: pitoon,2012-12-27,2012-12-27,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,4685
account_invoice_067,"เค.เอ็ม.ที อินเตอร์เนชั่นแนล, หจก.",11310 ลูกหนี้การค้าในประเทศ,INV55/959/47936,Sales: admin,2012-12-10,2012-12-10,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,20500
account_invoice_068,ง้วนฮวด,11310 ลูกหนี้การค้าในประเทศ,INV55/955/47728,Sales: pitoon,2012-11-23,2012-11-23,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,4100
account_invoice_069,งี่ฮง - วรจักร,11310 ลูกหนี้การค้าในประเทศ,INV55/957/47813,Sales: admin,2012-12-01,2012-12-01,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,38000
account_invoice_070,งี่ฮง - วรจักร,11310 ลูกหนี้การค้าในประเทศ,INV55/958/47854,Sales: admin,2012-12-06,2012-12-06,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,38200
account_invoice_071,งี่ฮง - วรจักร,11310 ลูกหนี้การค้าในประเทศ,INV55/960/47991,Sales: admin,2012-12-14,2012-12-14,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,15180
account_invoice_072,งี่ฮง - วรจักร,11310 ลูกหนี้การค้าในประเทศ,INV55/962/48064,Sales: admin,2012-12-19,2012-12-19,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,56800
account_invoice_073,งี่ฮง - วรจักร,11310 ลูกหนี้การค้าในประเทศ,INV55/963/48130,Sales: admin,2012-12-24,2012-12-24,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,5200
account_invoice_074,งี่ฮ้ง - สวนมะลิ,11310 ลูกหนี้การค้าในประเทศ,INV55/957/47815,Sales: admin,2012-12-01,2012-12-01,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,37600
account_invoice_075,งี่ฮ้ง - สวนมะลิ,11310 ลูกหนี้การค้าในประเทศ,INV55/960/47992,Sales: admin,2012-12-14,2012-12-14,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,8635
