id,name,type,parent_id/id,property_account_creditor_price_difference_categ,property_account_income_categ,property_account_expense_categ,property_stock_account_input_categ,property_stock_account_output_categ,property_stock_valuation_account_id,property_stock_journal/id
product_cat_บันได,บันได,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ยางใน,ยางใน,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_วงล้อ,วงล้อ,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_สูบลม,สูบลม,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_แฮนด์,แฮนด์,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_โลโก้,โลโก้,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ขาตั้ง,ขาตั้ง,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_จานโซ่,จานโซ่,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ซี่ลวด,ซี่ลวด,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ดุมล้อ,ดุมล้อ,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
