ERROR,Product Category,id,partner_id,partner_invoice_id,partner_shipping_id,name,date_order,pricelist_id/id,order_line/sequence,order_line/type,order_line/name,order_line/special_info,order_line/product_id,order_line/product_uom_qty,order_line/salesman_id/id,order_line/price_unit,order_line/product_uom
ERROR_BP,MEADOW,sale_order_1006706,"เจ แอนด์ พี, ร้าน","เจ แอนด์ พี, ร้าน","เจ แอนด์ พี, ร้าน",1004401,2013-02-20,product.list0,10,from stock,"จักรยาน MEADOW FOLDING รุ่น MOVE METRO 16"" MY13 สีน้ำตาลเข้ม YS-760",,MMM16N,2,base.user_root,1776,คัน
ERROR_BP,MEADOW,sale_order_1006706,"เจ แอนด์ พี, ร้าน","เจ แอนด์ พี, ร้าน","เจ แอนด์ พี, ร้าน",1004401,2013-02-20,product.list0,20,from stock,"จักรยาน MEADOW FOLDING รุ่น MOVE METRO 16"" MY13 สีเงิน YS-7605",,MMM16S,2,base.user_root,1776,คัน
ERROR_BP,MEADOW,sale_order_1006706,"เจ แอนด์ พี, ร้าน","เจ แอนด์ พี, ร้าน","เจ แอนด์ พี, ร้าน",1004401,2013-02-20,product.list0,30,from stock,"จักรยาน MEADOW FOLDING รุ่น MOVE MINI 16"" MY13 สีแดง YS-762",,MMI16R,2,base.user_root,1776,คัน
ERROR_BP,MEADOW,sale_order_1006706,"เจ แอนด์ พี, ร้าน","เจ แอนด์ พี, ร้าน","เจ แอนด์ พี, ร้าน",1004401,2013-02-20,product.list0,40,from stock,"จักรยาน MEADOW FOLDING รุ่น MOVE MINI 16"" MY13 สีขาว YS-775",,MMI16W,2,base.user_root,1776,คัน
ERROR_BP,EBIKE,sale_order_1006707,"หงษ์ทองอะไหล่, ร้าน","หงษ์ทองอะไหล่, ร้าน","หงษ์ทองอะไหล่, ร้าน",1004402,2013-02-20,product.list0,10,from stock,"จักรยานสามล้อไฟฟ้า MEADOW รุ่น I- LYNX 20"" 3W สีดำ",เสาร์-อาทิตย์ ห้ามส่งของ,EBK012,1,base.user_root,11666,คัน
ERROR_BP,MEADOW,sale_order_1006707,"หงษ์ทองอะไหล่, ร้าน","หงษ์ทองอะไหล่, ร้าน","หงษ์ทองอะไหล่, ร้าน",1004402,2013-02-20,product.list0,20,from stock,"จักรยานสามล้อ MEADOW รุ่น CITY LYNX 20"" 3W สีดำ",** เสาร์-อาทิตย์ ห้ามส่งของ,MC320K,1,base.user_root,4485,คัน
ERROR_BP,MEADOW,sale_order_1006707,"หงษ์ทองอะไหล่, ร้าน","หงษ์ทองอะไหล่, ร้าน","หงษ์ทองอะไหล่, ร้าน",1004402,2013-02-20,product.list0,30,from stock,"จักรยานสามล้อ MEADOW รุ่น CITY LYNX 20"" 3W สีบรอนซ์",** เสาร์-อาทิตย์ ห้ามส่งของ,MC320S,2,base.user_root,4485,คัน
ERROR_BP,MEADOW,sale_order_1006708,"จักรยานร่มเกล้า (เฮียเอ๋), ร้าน","จักรยานร่มเกล้า (เฮียเอ๋), ร้าน","จักรยานร่มเกล้า (เฮียเอ๋), ร้าน",1004403,2013-02-20,product.list0,10,from stock,"จักรยานสามล้อ MEADOW รุ่น CITY LYNX 20"" 3W สีแดง",,MC320R,1,base.user_root,4485,คัน
ERROR_BP,MEADOW,sale_order_1006708,"จักรยานร่มเกล้า (เฮียเอ๋), ร้าน","จักรยานร่มเกล้า (เฮียเอ๋), ร้าน","จักรยานร่มเกล้า (เฮียเอ๋), ร้าน",1004403,2013-02-20,product.list0,20,from stock,"จักรยานสามล้อ MEADOW รุ่น CITY LYNX 20"" 3W สีบรอนซ์",,MC320S,1,base.user_root,4485,คัน
ERROR_BP,MEADOW,sale_order_1006708,"จักรยานร่มเกล้า (เฮียเอ๋), ร้าน","จักรยานร่มเกล้า (เฮียเอ๋), ร้าน","จักรยานร่มเกล้า (เฮียเอ๋), ร้าน",1004403,2013-02-20,product.list0,30,from stock,"จักรยาน MEADOW FOLDING รุ่น MOVE METRO 16"" MY13 สีเงิน YS-7605",,MMM16S,1,base.user_root,1831,คัน
ERROR_BP,MEADOW,sale_order_1006708,"จักรยานร่มเกล้า (เฮียเอ๋), ร้าน","จักรยานร่มเกล้า (เฮียเอ๋), ร้าน","จักรยานร่มเกล้า (เฮียเอ๋), ร้าน",1004403,2013-02-20,product.list0,40,from stock,"จักรยาน MEADOW FOLDING รุ่น MOVE METRO 16"" MY13 สีน้ำตาลเข้ม YS-760",,MMM16N,1,base.user_root,1831,คัน
